3140
qstr_Next_Page Next_Page
qstr_Game_Rules:^ Game_Rules:^
qstr_0 0
qstr_Show_game_rules Show_game_rules
qstr_What_will_be_the_nam What_will_be_the_name_of_your_party?
qstr_Continue... Continue...
qstr_What_will_be_the_name What_will_be_the_name_of_your_secret_camp?
qstr_What_shall_be_the_ne What_shall_be_the_new_name_of_the_Order_stronghold?
qstr_What_shall_be_the_ti What_shall_be_the_title_of_your_male_vassals?
qstr_What_shall_be_the_tit What_shall_be_the_title_of_your_female_vassals?
qstr_{!} {!}
qstr_Use_specified_titles Use_specified_titles.
qstr_Use_titles_default_f Use_titles_default_for_your_kingdom's_culture.
qstr_What_shall_be_the_na What_shall_be_the_name_of_your_Order?
qstr_Order_of_the Order_of_the
qstr_Knights_of_{s0} Knights_of_{s0}
qstr_What_shall_be_called What_shall_be_called_your_Order_Knight_(singular_and_plural)?
qstr_What_shall_be_called_ What_shall_be_called_your_Order_Sergeant_(singular_and_plural)?
qstr_Candidate_#1:_{s1} Candidate_#1:_{s1}
qstr_Candidate_#2:_{s1} Candidate_#2:_{s1}
qstr_{s3}_of_{s4}_wishes_ {s3}_of_{s4}_wishes_to_select_a_new_marshall_and_invites_his_vassals_for_a_counsel._{s1}_and_{s2}_are_the_likely_candidates.
qstr_Who_do_you_wish_to_s Who_do_you_wish_to_support?
qstr_{!}{s1} {!}{s1}
qstr_{s1}_gives_his_suppo {s1}_gives_his_support_to_{s2}.
qstr_Number_of_Supporters Number_of_Supporters:_{reg0}
qstr_{s2}_has_heard_his_v {s2}_has_heard_his_vassals'_counsel._He_selects_{s1}_as_the_marshall_of_{s3}.
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Order Attack_Order
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Opponents_knocked_do Opponents_knocked_down:_{reg1}
qstr_Opponents_left:_{reg Opponents_left:_{reg1}
qstr_Opponents_beaten:_{r Opponents_beaten:_{reg1}
qstr_Opponents_remaining: Opponents_remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{!}{reg0} {!}{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_denar Wealth:_{reg0}_denars
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_the_{s15} the_{s15}
qstr_the_{s16}_and_{s15} the_{s16}_and_{s15}
qstr_the_{s16}_{s15} the_{s16},_{s15}
qstr__conquered_{s15} _conquered_{s15},
qstr_self_proclaimed_{reg self-proclaimed_{reg63?king:queen}
qstr_minor_lord minor_lord
qstr_mercenary_captain mercenary_captain
qstr_None None
qstr_{s4}_s_achievements_ {s4}'s_achievements_after_{reg5}_days_of_adventuring_(checked_once_a_day).
qstr_Deathbringer Deathbringer
qstr__killed_{reg0}_enemi (killed_{reg0}_enemies_in_a_single_battle)
qstr_Masterful_Warrior Masterful_Warrior
qstr__{reg0}_enemies_kill ({reg0}_enemies_killed_or_wounded)
qstr_Legendary_Warrior Legendary_Warrior
qstr_Battle_Master Battle_Master
qstr__won_{reg0}_victorie (won_{reg0}_victories)
qstr_Great_General Great_General
qstr_Defender_of_Pendor Defender_of_Pendor
qstr__defeated_{reg0}_her (defeated_{reg0}_heroes)
qstr_Guardian_of_Pendor Guardian_of_Pendor
qstr_Bane_of_Vejovis Bane_of_Vejovis
qstr__wiped_out_a_Mystmou (wiped_out_a_Mystmountain_army)
qstr_Cult_Banisher Cult_Banisher
qstr__wiped_out_a_Snake_C (wiped_out_a_Snake_Cult_army)
qstr_Scourge_of_Jatu Scourge_of_Jatu
qstr__wiped_out_a_Jatu_ar (wiped_out_a_Jatu_army)
qstr_Purger_of_Heresy Purger_of_Heresy
qstr__wiped_out_a_Heretic (wiped_out_a_Heretic_army)
qstr_Arena_Survivor Arena_Survivor
qstr__won_in_{reg0}_tourn (won_in_{reg0}_tournaments)
qstr_Tournament_Champion Tournament_Champion
qstr_{reg63?Hero:Heroine} {reg63?Hero:Heroine}_of_Pendor
qstr__gained_{reg0}_renow (gained_{reg0}_renown)
qstr_{reg63?Lion:Lioness} {reg63?Lion:Lioness}_of_Pendor
qstr_Chevalier_of_Pendor Chevalier_of_Pendor
qstr__gained_{reg0}_honor (gained_{reg0}_honor)
qstr_Rogue_{reg63?King:Qu Rogue_{reg63?King:Queen}
qstr__declared_a_sovereig (declared_a_sovereign_kingdom)
qstr_Great_Persuader Great_Persuader
qstr__persuaded_{reg0}_lo (persuaded_{reg0}_lords_to_join_kingdom)
qstr_Master_Builder Master_Builder
qstr__built_{reg0}_improv (built_{reg0}_improvements)
qstr_Competent_Aide Competent_Aide
qstr__completed_{reg0}_qu (completed_{reg0}_quests)
qstr_Epitome_of_Ineptitud Epitome_of_Ineptitude
qstr__failed_{reg0}_quest (failed_{reg0}_quests)
qstr_Slippery_Fellow Slippery_Fellow
qstr__captured_{reg0}_tim (captured_{reg0}_times)
qstr_Caravan_Marauder Caravan_Marauder
qstr__raided_{reg0}_carav (raided_{reg0}_caravans)
qstr_Village_Plunderer Village_Plunderer
qstr__raided_{reg0}_villa (raided_{reg0}_villages)
qstr_Blatant_Deceiver Blatant_Deceiver
qstr__cheated_in_battle_ (cheated_in_battle)
qstr_Order_Grandmaster Order_Grandmaster
qstr__became_a_leader_of_ (became_a_leader_of_a_Knighthood_Order)
qstr_More. More.
qstr_Back. Back.
qstr_You_have_been_awarde You_have_been_awarded_an_Achievement!
qstr_Continue. Continue.
qstr_A_Knighthood_Order_c A_Knighthood_Order_chapterhouse_is_founded
qstr_{s11}_of_the_{s12}_h {s11}_of_the_{s12}_has_founded_a_chapterhouse_of_the_Order_of_the_{s13}_in_{s14}.
qstr_Pendor_:__Conquered_ Pendor_:__Conquered_by_{s11}
qstr_The_{s11}_has_defeat The_{s11}_has_defeated_all_rivals_and_stands_as_the_sole_kingdom.__The_Prophecy_of_Madigan_has_been_fulfilled!^^_An_Alternate_Probability_has_been_created.
qstr_Pendor_:__Conquered_b Pendor_:__Conquered_by_One_Kingdom
qstr_{s11}_has_defeated_a {s11}_has_defeated_all_rivals_and_stands_as_the_sole_kingdom.__The_Prophecy_of_Madigan_has_been_fulfilled!^^_An_Alternate_Probability_has_been_created.
qstr_Factions Factions
qstr_Show_towns Show_towns
qstr_Show_castles Show_castles
qstr_Show_villages Show_villages
qstr_Tip:_move_the_mouse_ Tip:_move_the_mouse_onto_the_black_blocks_to_show_their_names.
qstr_The_World_Map The_World_Map
qstr_Done Done
qstr_P_o_P___O_p_t_i_o_n_ P_o_P___O_p_t_i_o_n_s
qstr_Scroll_down_for_more Scroll_down_for_more_options
qstr_Battle_options Battle_options
qstr_Battlefield_size_ Battlefield_size_
qstr_840x840m 840x840m
qstr_550x550m 550x550m
qstr_240x240m 240x240m
qstr_Adaptive Adaptive
qstr_Battle_reinforcement Battle_reinforcement_waves_
qstr_Unlimited Unlimited
qstr_18 18
qstr_16 16
qstr_14 14
qstr_12 12
qstr_10 10
qstr_8 8
qstr_6 6
qstr_4 4
qstr_2 2
