stringsfile version 1
5057
str_no_string NO_STRING!
str_empty_string _
str_yes Yes.
str_no No.
str_blank_string _
str_error_string {!}ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone no_one
str_s0 {!}{s0}
str_blank_s1 {!}_{s1}
str_reg1 {!}{reg1}
str_s50_comma_s51 {!}{s50},_{s51}
str_s50_and_s51 {s50}_and_{s51}
str_s52_comma_s51 {!}{s52},_{s51}
str_s52_and_s51 {s52}_and_{s51}
str_s5_s_party {s5}'s_Party
str_given_by_s1_at_s2 Given_by_{s1}_at_{s2}
str_given_by_s1_in_wilderness Given_by_{s1}_whilst_in_the_field
str_s7_raiders {s7}_Raiders
str_bandits_eliminated_by_another The_troublesome_bandits_have_been_eliminated_by_another_party.
str_msg_battle_won You_are_Victorious!_Press_tab_key_to_leave...
str_msg_battle_won0 Your_forces_are_triumphant!_Press_tab_key_to_leave...
str_msg_battle_won1 The_enemy_has_been_defeated!_Press_tab_key_to_leave...
str_msg_battle_won2 The_enemy_has_been_vanquished!_Press_tab_key_to_leave...
str_msg_battle_won3 The_field_has_been_won!_Press_tab_key_to_leave...
str_msg_battle_won4 Fate_smiles_upon_you!_The_last_of_your_enemies_has_fallen!_Press_tab_key_to_leave...
str_msg_battle_won5 All_of_your_enemies_have_fallen!_Press_tab_key_to_leave...
str_msg_battle_won6 You_have_won_the_day!_Press_tab_key_to_leave...
str_msg_battle_won7 No_enemy_remains_to_stand_against_you!_Press_tab_key_to_leave...
str_msg_battle_won8 Victory_is_yours!_Press_tab_key_to_leave...
str_tutorial_map1 Welcome_to_the_World_of_Pendor,_Champion.^^This_total_conversion_modification_is_designed_in_mind_for_experienced_players_who_learned_or_mastered_what_Native_has_to_offer._Your_skills_will_be_tested_and_sometimes_it_will_not_be_easy._Finally,_the_die_has_been_cast_and_now_you_set_sail_to_Pendor._The_Prophesy_of_Pendor_Team_welcomes_you_and_we_hope_you_enjoy_the_world_we_all_created.^^All_Rights_Reserved_for_Official_Prophesy_of_Pendor_Development_Teams.
str_change_color_1 {!}Change_Color_1
str_change_color_2 {!}Change_Color_2
str_change_background {!}Change_Background_Pattern
str_change_flag_type {!}Change_Flag_Type
str_change_map_flag_type {!}Change_Map_Flag_Type
str_randomize Randomize
str_sample_banner {!}Sample_banner:
str_sample_map_banner {!}Sample_map_banner:
str_number_of_charges {!}Number_of_charges:
str_change_charge_1 {!}Change_Charge_1
str_change_charge_1_color {!}Change_Charge_1_Color
str_change_charge_2 {!}Change_Charge_2
str_change_charge_2_color {!}Change_Charge_2_Color
str_change_charge_3 {!}Change_Charge_3
str_change_charge_3_color {!}Change_Charge_3_Color
str_change_charge_4 {!}Change_Charge_4
str_change_charge_4_color {!}Change_Charge_4_Color
str_change_charge_position {!}Change_Charge_Position
str_choose_position {!}Choose_position:
str_choose_charge {!}Choose_a_charge:
str_choose_background {!}Choose_background_pattern:
str_choose_flag_type {!}Choose_flag_type:
str_choose_map_flag_type {!}Choose_map_flag_type:
str_choose_color {!}Choose_color:
str_accept {!}Accept
str_charge_no_1 {!}Charge_#1:
str_charge_no_2 {!}Charge_#2:
str_charge_no_3 {!}Charge_#3:
str_charge_no_4 {!}Charge_#4:
str_change {!}Change
str_color_no_1 {!}Color_#1:
str_color_no_2 {!}Color_#2:
str_charge Charge
str_color Color
str_flip_horizontal Flip_Horizontal
str_flip_vertical Flip_Vertical
str_hold_fire Hold_Fire
str_blunt_hold_fire Blunt_/_Hold_Fire
str_tutorial_ammo_refilled Ammo_refilled.
str_tutorial_failed You_have_been_beaten_this_time,_but_don't_worry._Follow_the_instructions_carefully_and_you'll_do_better_next_time._Press_the_Tab_key_to_return_to_to_the_menu_where_you_can_retry_this_tutorial.
